Midterm,Lab,Final exam,Final grade,Letter grade
10,8,43,61,B+
12,8,44,64,B+
6,10,36,52,C
7,8,25,40,C
12,5,51,68,B+
14,4,38,56,C
0,0,ABS,ABS,ABS
13,7,55,75,A
11,8,52,71,A
16,7,59,82,A+
11,8,50,69,B+
18,10,53,81,A+
10,10,44,64,B+
19,10,60,89,A+
16,8,58,82,A+
10,0,20,30,D
14,8,50,72,A
17,10,55,82,A+
7,0,36,43,C
3,4,23,30,D
9,6,35,50,C
17,10,62,89,A+
10,8,56,74,A
17,10,49,76,A
12,10,58,80,A+
18,7,53,78,A
16,10,48,74,A
12,8,49,69,B+
15,10,44,69,B+
12,8,50,70,A
18,10,53,81,A+
0,5,25,30,D
8,9,23,40,C
7,6,33,46,C
0,0,59,59,C
,,ABS,ABS,ABS
7,4,33,44,C
8,4,36,48,C
9,6,54,69,B+
9,8,45,62,B+
16,6,48,70,A
12,6,58,76,A
8,0,50,58,C
10,8,46,64,B+
10,10,52,72,A
8,0,34,42,C
17,8,63,88,A+
13,10,53,76,A
16,10,48,74,A
10,10,49,69,B+
5,8,37,50,C
15,10,62,87,A+
8,8,42,58,C
15,4,50,69,B+
9,10,52,71,A
11,6,61,78,A
11,8,42,61,B+
4,0,38,42,C
12,5,47,64,B+
15,8,51,74,A
12,10,59,81,A+
10,8,51,69,B+
6,6,36,48,C
10,0,47,57,C
8,6,42,56,C
7,6,33,46,C
9,9,22,40,C
7,0,43,50,C
4,8,39,51,C
8,8,38,54,C
7,8,51,66,B+
0,5,53,58,C
15,10,41,66,B+
20,8,54,82,A+
13,8,42,63,B+
10,10,42,62,B+
3,8,20,31,D
11,8,25,44,C
8,10,47,65,B+
8,10,37,55,C
8,0,22,30,D
11,8,37,56,C
12,10,50,72,A
6,0,43,49,C
8,8,36,52,C
7,8,50,65,B+
6,10,54,70,A
14,10,61,85,A+
18,6,57,81,A+
11,6,50,67,B+
16,4,52,72,A
11,8,47,66,B+
11,7,55,73,A
3,8,39,50,C
13,10,50,73,A
8,8,66,82,A+
16,10,57,83,A+
10,0,52,62,B+
5,8,46,59,C
13,10,48,71,A
13,10,28,51,C
4,6,39,49,C
12,4,42,58,C
8,6,49,63,B+
